"","FULLID","MODEL","CODE","INST","LIBVER","CALCVAL","CALCERR"
"47","HEU-COMP-THERM-002-011",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.01656,5e-04
"48","HEU-COMP-THERM-002-011",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.0139,0.00047
"49","HEU-COMP-THERM-002-012",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.01457,0.00044
"50","HEU-COMP-THERM-002-012",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.01277,0.00045
"51","HEU-COMP-THERM-002-013",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.01844,0.00044
"52","HEU-COMP-THERM-002-013",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.01665,0.00047
"53","HEU-COMP-THERM-002-014",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.01943,0.00044
"54","HEU-COMP-THERM-002-014",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.01589,0.00045
"55","HEU-COMP-THERM-002-015",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.02017,0.00042
"56","HEU-COMP-THERM-002-015",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.01664,0.00037
"57","HEU-COMP-THERM-002-016",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.02078,4e-04
"58","HEU-COMP-THERM-002-016",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.01521,4e-04
"59","HEU-COMP-THERM-002-017",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.02516,0.00036
"60","HEU-COMP-THERM-002-017",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.01995,4e-04
"61","HEU-COMP-THERM-002-018",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.01495,0.00047
"62","HEU-COMP-THERM-002-018",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.01442,0.00053
"63","HEU-COMP-THERM-002-019",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.01375,0.00036
"64","HEU-COMP-THERM-002-019",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.01217,0.00041
"65","HEU-COMP-THERM-002-020",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.01595,0.00039
"66","HEU-COMP-THERM-002-020",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.01366,0.00051
"67","HEU-COMP-THERM-002-021",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.01802,0.00045
"68","HEU-COMP-THERM-002-021",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.01303,0.00038
"69","HEU-COMP-THERM-002-022",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.01877,4e-04
"70","HEU-COMP-THERM-002-022",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.01288,0.00038
"71","HEU-COMP-THERM-002-023",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.01646,0.00045
"72","HEU-COMP-THERM-002-023",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.01365,0.00047
"73","HEU-COMP-THERM-002-024",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.01557,0.00043
"74","HEU-COMP-THERM-002-024",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.01318,0.00045
"75","HEU-COMP-THERM-002-025",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.01478,0.00044
"76","HEU-COMP-THERM-002-025",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.01077,0.00041
"77","HEU-COMP-THERM-011-001",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",0.989,0.00037
"78","HEU-COMP-THERM-011-001",NA,"MCNP.6.1.1","NRG","JEFF-3.3",0.99035,4e-04
"79","HEU-COMP-THERM-011-002",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",0.99137,0.00042
"80","HEU-COMP-THERM-011-002",NA,"MCNP.6.1.1","NRG","JEFF-3.3",0.99195,0.00037
"81","HEU-COMP-THERM-011-003",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",0.99354,0.00042
"82","HEU-COMP-THERM-011-003",NA,"MCNP.6.1.1","NRG","JEFF-3.3",0.99364,0.00046
"83","HEU-COMP-THERM-012-001",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",0.99026,0.00045
"84","HEU-COMP-THERM-012-001",NA,"MCNP.6.1.1","NRG","JEFF-3.3",0.99031,5e-04
"85","HEU-COMP-THERM-012-002",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",0.99138,0.00042
"86","HEU-COMP-THERM-012-002",NA,"MCNP.6.1.1","NRG","JEFF-3.3",0.99078,0.00042
"87","HEU-COMP-THERM-013-001",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",0.99282,0.00042
"88","HEU-COMP-THERM-013-001",NA,"MCNP.6.1.1","NRG","JEFF-3.3",0.99324,0.00041
"89","HEU-COMP-THERM-013-002",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",0.99443,0.00042
"90","HEU-COMP-THERM-013-002",NA,"MCNP.6.1.1","NRG","JEFF-3.3",0.99239,0.00041
"91","HEU-COMP-THERM-014-001",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",0.99928,0.00036
"92","HEU-COMP-THERM-014-001",NA,"MCNP.6.1.1","NRG","JEFF-3.3",0.99845,0.00039
"93","HEU-COMP-THERM-014-002",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",0.99904,0.00038
"94","HEU-COMP-THERM-014-002",NA,"MCNP.6.1.1","NRG","JEFF-3.3",0.99845,0.00041
"95","HEU-COMP-THERM-015-001",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",0.99786,0.00043
"96","HEU-COMP-THERM-015-001",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.00594,5e-04
"97","HEU-COMP-THERM-015-005",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",0.99738,0.00046
"98","HEU-COMP-THERM-015-005",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.00449,0.00041
"99","HEU-COMP-THERM-015-006",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",0.99776,0.00049
"100","HEU-COMP-THERM-015-006",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.00366,0.00049
"101","HEU-COMP-THERM-021-001",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",0.99819,0.00039
"102","HEU-COMP-THERM-021-001",NA,"MCNP.6.1.1","NRG","JEFF-3.3",0.99952,4e-04
"103","HEU-COMP-THERM-021-002",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",0.9963,0.00037
"104","HEU-COMP-THERM-021-002",NA,"MCNP.6.1.1","NRG","JEFF-3.3",0.99719,4e-04
"105","HEU-COMP-THERM-021-003",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.00784,0.00034
"106","HEU-COMP-THERM-021-003",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.00685,4e-04
"107","HEU-COMP-THERM-021-004",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.00739,3e-04
"108","HEU-COMP-THERM-021-004",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.00767,0.00031
"109","HEU-COMP-THERM-021-005",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",1.00793,0.00026
"110","HEU-COMP-THERM-021-005",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.00729,3e-04
"111","HEU-COMP-THERM-021-006",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",0.99981,0.00044
"112","HEU-COMP-THERM-021-006",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.00227,4e-04
"113","HEU-COMP-THERM-021-007",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",0.99781,0.00043
"114","HEU-COMP-THERM-021-007",NA,"MCNP.6.1.1","NRG","JEFF-3.3",0.99972,0.00044
"115","HEU-COMP-THERM-021-008",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",0.99863,0.00045
"116","HEU-COMP-THERM-021-008",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.0005,0.00045
"117","HEU-COMP-THERM-021-009",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",0.99823,0.00041
"118","HEU-COMP-THERM-021-009",NA,"MCNP.6.1.1","NRG","JEFF-3.3",1.00059,0.00041
"119","HEU-COMP-THERM-021-010",NA,"MCNP.6.1.1","NRG","ENDFB-VIII.b4",0.99515,0.00041
"120","HEU-COMP-THERM-021-010",NA,"MCNP.6.1.1","NRG","JEFF-3.3",0.99712,0.00042
