"","FULLID","MODEL","EXPVAL","EXPERR","CASE","EALF","AFGE","FISSG1","FISSG2","FISSG3","CAPG1","CAPG2","CAPG3","AM241WPCT","AM243WPCT","PU238WPCT","PU239WPCT","PU240WPCT","PU241WPCT","PU242WPCT","U232WPCT","U233WPCT","U234WPCT","U235WPCT","U236WPCT","U238WPCT","PU_UPURATIO","MOD_COOLANT","MODRATIO_TYPE","MODRATIO","MODTOFUELRATIO","MODTOFISSRATIO","FISS","FORM","SPEC","CASETYPE"
"1","HEU-COMP-FAST-003-001",NA,1,0.0085,"HEU-COMP-FAST-003",23700,20100,0.102,0.32,0.578,0.267,0.457,0.276,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.894,NA,0.096,0,"Water (Light Water)",NA,NA,4.7301,5.2847,"HEU","COMP","FAST","HEU-COMP-FAST"
"2","HEU-COMP-INTER-003-001",NA,1,0.0057,"HEU-COMP-INTER-003",3190,7070,0.043,0.642,0.315,0.022,0.877,0.101,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0101,0.9317,0.0043,0.0539,0,"Uranium Hydride","H/U",NA,3.0028,3.2208,"HEU","COMP","INTER","HEU-COMP-INTER"
"3","HEU-COMP-INTER-003-002",NA,1,0.0061,"HEU-COMP-INTER-003",2450,4070,0.048,0.658,0.295,0.024,0.885,0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0101,0.9317,0.0043,0.0539,0,"Uranium Hydride","H/U",NA,3.0028,3.2208,"HEU","COMP","INTER","HEU-COMP-INTER"
"4","HEU-COMP-INTER-003-003",NA,1,0.0056,"HEU-COMP-INTER-003",2460,4100,0.048,0.657,0.295,0.024,0.885,0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0101,0.9317,0.0043,0.0539,0,"Uranium Hydride","H/U",NA,3.0028,3.2208,"HEU","COMP","INTER","HEU-COMP-INTER"
"5","HEU-COMP-INTER-003-004",NA,1,0.0055,"HEU-COMP-INTER-003",3080,4980,0.044,0.64,0.316,0.023,0.879,0.099,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0101,0.9317,0.0043,0.0539,0,"Uranium Hydride","H/U",NA,3.0028,3.2208,"HEU","COMP","INTER","HEU-COMP-INTER"
"6","HEU-COMP-INTER-003-005",NA,1,0.0047,"HEU-COMP-INTER-003",3240,3300,0.044,0.636,0.32,0.023,0.879,0.099,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0101,0.9317,0.0043,0.0539,0,"Uranium Hydride","H/U",NA,3.0028,3.2208,"HEU","COMP","INTER","HEU-COMP-INTER"
"7","HEU-COMP-INTER-003-006",NA,1,0.0047,"HEU-COMP-INTER-003",3730,5230,0.041,0.627,0.332,0.022,0.875,0.104,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0101,0.9317,0.0043,0.0539,0,"Uranium Hydride","H/U",NA,3.0028,3.2208,"HEU","COMP","INTER","HEU-COMP-INTER"
"8","HEU-COMP-INTER-003-007",NA,1,0.005,"HEU-COMP-INTER-003",3770,5240,0.041,0.627,0.332,0.022,0.874,0.104,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0101,0.9317,0.0043,0.0539,0,"Uranium Hydride","H/U",NA,3.0028,3.2208,"HEU","COMP","INTER","HEU-COMP-INTER"
"9","HEU-COMP-INTER-004-001",NA,1,0.004,"HEU-COMP-INTER-004",132,138,0.039,0.907,0.055,0.057,0.924,0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0115,0.9228,0.0016,0.0642,0,"Graphite",NA,NA,279.2165,302.3581,"HEU","COMP","INTER","HEU-COMP-INTER"
"10","HEU-COMP-INTER-005-001",NA,1.032,0.004,"HEU-COMP-INTER-005",5120,4630,0.001,0.712,0.287,0.001,0.634,0.366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9011,NA,0.0989,0,"None",NA,NA,0,0,"HEU","COMP","INTER","HEU-COMP-INTER"
"11","HEU-COMP-INTER-005-002",NA,1.05,0.008,"HEU-COMP-INTER-005",3590,3360,0,0.794,0.206,0,0.836,0.163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9011,NA,0.0989,0,"None",NA,NA,0,0,"HEU","COMP","INTER","HEU-COMP-INTER"
"12","HEU-COMP-INTER-005-003",NA,1.03,0.006,"HEU-COMP-INTER-005",7210,6640,0,0.752,0.247,0,0.821,0.179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9011,NA,0.0989,0,"None",NA,NA,0,0,"HEU","COMP","INTER","HEU-COMP-INTER"
"13","HEU-COMP-INTER-005-004",NA,1.064,0.018,"HEU-COMP-INTER-005",4400,4090,0,0.823,0.177,0,0.849,0.151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9011,NA,0.0989,0,"None",NA,NA,0,0,"HEU","COMP","INTER","HEU-COMP-INTER"
"14","HEU-COMP-INTER-005-005",NA,0.997,0.013,"HEU-COMP-INTER-005",4140,3900,0.002,0.815,0.183,0.001,0.886,0.113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9011,NA,0.0989,0,"None",NA,NA,0,0,"HEU","COMP","INTER","HEU-COMP-INTER"
"15","HEU-COMP-MIXED-002-004",NA,1,0.0087,"HEU-COMP-MIXED-002",3990,3640,0.167,0.378,0.455,0.313,0.499,0.188,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.894,NA,0.096,0,"Water (Light Water)",NA,NA,4.7301,5.2847,"HEU","COMP","MIXED","HEU-COMP-MIXED"
"16","HEU-COMP-MIXED-002-005",NA,1,0.0089,"HEU-COMP-MIXED-002",5360,4750,0.135,0.41,0.455,0.23,0.571,0.199,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.894,NA,0.096,0,"Water (Light Water)",NA,NA,4.7301,5.2847,"HEU","COMP","MIXED","HEU-COMP-MIXED"
"17","HEU-COMP-MIXED-002-008",NA,1,0.0068,"HEU-COMP-MIXED-002",237,260,0.343,0.338,0.319,0.561,0.341,0.098,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.894,NA,0.096,0,"Water (Light Water)",NA,NA,4.7301,5.2847,"HEU","COMP","MIXED","HEU-COMP-MIXED"
"18","HEU-COMP-MIXED-002-009",NA,1,0.0076,"HEU-COMP-MIXED-002",250,275,0.345,0.328,0.327,0.577,0.325,0.098,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.894,NA,0.096,0,"Water (Light Water)",NA,NA,4.7301,5.2847,"HEU","COMP","MIXED","HEU-COMP-MIXED"
"19","HEU-COMP-MIXED-002-018",NA,1,0.0111,"HEU-COMP-MIXED-002",5510,4880,0.134,0.409,0.457,0.231,0.569,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.894,NA,0.096,0,"Water (Light Water)",NA,NA,4.7301,5.2847,"HEU","COMP","MIXED","HEU-COMP-MIXED"
"20","HEU-COMP-MIXED-002-019",NA,1,0.0107,"HEU-COMP-MIXED-002",3970,3630,0.167,0.381,0.452,0.313,0.5,0.187,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.8962,NA,0.0938,0,"Water (Light Water)",NA,NA,4.7419,5.2851,"HEU","COMP","MIXED","HEU-COMP-MIXED"
"21","HEU-COMP-THERM-002-001",NA,1.0011,0.0069,"HEU-COMP-THERM-002",0.145,0.293,0.856,0.128,0.016,0.722,0.258,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9315,NA,0.0685,0,"Graphite, Water (Light Water)",NA,NA,83.9076,90,"HEU","COMP","THERM","HEU-COMP-THERM"
"22","HEU-COMP-THERM-002-002",NA,1.0011,0.0069,"HEU-COMP-THERM-002",0.104,0.226,0.89,0.098,0.012,0.795,0.187,0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9315,NA,0.0685,0,"Graphite, Water (Light Water)",NA,NA,83.91,90,"HEU","COMP","THERM","HEU-COMP-THERM"
"23","HEU-COMP-THERM-002-003",NA,1.0011,0.0069,"HEU-COMP-THERM-002",0.085,0.176,0.911,0.079,0.01,0.842,0.142,0.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9315,NA,0.0685,0,"Graphite, Water (Light Water)",NA,NA,83.91,156.8955,"HEU","COMP","THERM","HEU-COMP-THERM"
"24","HEU-COMP-THERM-002-004",NA,1.0011,0.0069,"HEU-COMP-THERM-002",0.0751,0.145,0.924,0.067,0.009,0.873,0.112,0.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9315,NA,0.0685,0,"Graphite, Water (Light Water)",NA,NA,83.91,156.8955,"HEU","COMP","THERM","HEU-COMP-THERM"
"25","HEU-COMP-THERM-002-005",NA,1.0011,0.0069,"HEU-COMP-THERM-002",0.0686,0.127,0.933,0.059,0.008,0.896,0.09,0.014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9315,NA,0.0685,0,"Graphite, Water (Light Water)",NA,NA,83.91,156.8955,"HEU","COMP","THERM","HEU-COMP-THERM"
"26","HEU-COMP-THERM-002-006",NA,1.0011,0.0069,"HEU-COMP-THERM-002",0.0642,0.115,0.94,0.052,0.008,0.914,0.073,0.013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9315,NA,0.0685,0,"Graphite, Water (Light Water)",NA,NA,0,0,"HEU","COMP","THERM","HEU-COMP-THERM"
"27","HEU-COMP-THERM-002-007",NA,1.0011,0.0069,"HEU-COMP-THERM-002",0.0606,0.105,0.946,0.047,0.007,0.927,0.061,0.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9315,NA,0.0685,0,"Graphite, Water (Light Water)",NA,NA,146.2748,156.8955,"HEU","COMP","THERM","HEU-COMP-THERM"
"28","HEU-COMP-THERM-002-008",NA,1.0011,0.0069,"HEU-COMP-THERM-002",0.0583,0.0993,0.95,0.043,0.007,0.937,0.052,0.011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9315,NA,0.0685,0,"Graphite, Water (Light Water)",NA,NA,146.2748,156.8955,"HEU","COMP","THERM","HEU-COMP-THERM"
"29","HEU-COMP-THERM-002-009",NA,1.0011,0.0069,"HEU-COMP-THERM-002",0.0563,0.0917,0.954,0.04,0.006,0.945,0.045,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9315,NA,0.0685,0,"Graphite, Water (Light Water)",NA,NA,146.2748,156.8955,"HEU","COMP","THERM","HEU-COMP-THERM"
"30","HEU-COMP-THERM-002-010",NA,1.0011,0.0069,"HEU-COMP-THERM-002",0.0547,0.0862,0.957,0.037,0.006,0.952,0.039,0.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9315,NA,0.0685,0,"Graphite, Water (Light Water)",NA,NA,146.2748,156.8955,"HEU","COMP","THERM","HEU-COMP-THERM"
"31","HEU-COMP-THERM-002-011",NA,1.0011,0.0053,"HEU-COMP-THERM-002",0.108,0.232,0.887,0.101,0.012,0.783,0.198,0.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9315,NA,0.0685,0,"Graphite, Water (Light Water)",NA,NA,146.2748,156.8955,"HEU","COMP","THERM","HEU-COMP-THERM"
"32","HEU-COMP-THERM-002-012",NA,1.0011,0.0055,"HEU-COMP-THERM-002",0.0745,0.143,0.925,0.066,0.009,0.873,0.112,0.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9315,NA,0.0685,0,"Graphite, Water (Light Water)",NA,NA,146.2748,156.8955,"HEU","COMP","THERM","HEU-COMP-THERM"
"33","HEU-COMP-THERM-002-013",NA,1.0011,0.0055,"HEU-COMP-THERM-002",0.068,0.125,0.934,0.058,0.008,0.897,0.09,0.013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9315,NA,0.0685,0,"Graphite, Water (Light Water)",NA,NA,146.2748,156.8955,"HEU","COMP","THERM","HEU-COMP-THERM"
"34","HEU-COMP-THERM-002-014",NA,1.0011,0.0055,"HEU-COMP-THERM-002",0.0633,0.112,0.942,0.051,0.007,0.915,0.072,0.013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9315,NA,0.0685,0,"Graphite, Water (Light Water)",NA,NA,146.2748,156.8955,"HEU","COMP","THERM","HEU-COMP-THERM"
"35","HEU-COMP-THERM-002-015",NA,1.0011,0.0055,"HEU-COMP-THERM-002",0.0599,0.104,0.947,0.046,0.007,0.928,0.061,0.011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9315,NA,0.0685,0,"Graphite, Water (Light Water)",NA,NA,146.2748,156.8955,"HEU","COMP","THERM","HEU-COMP-THERM"
"36","HEU-COMP-THERM-002-016",NA,1.0011,0.0053,"HEU-COMP-THERM-002",0.0556,0.0892,0.955,0.039,0.006,0.948,0.042,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9315,NA,0.0685,0,"Graphite, Water (Light Water)",NA,NA,146.2748,156.8955,"HEU","COMP","THERM","HEU-COMP-THERM"
"37","HEU-COMP-THERM-002-017",NA,1.0011,0.0053,"HEU-COMP-THERM-002",0.0541,0.0836,0.958,0.036,0.006,0.954,0.037,0.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9315,NA,0.0685,0,"Graphite, Water (Light Water)",NA,NA,146.2748,156.8955,"HEU","COMP","THERM","HEU-COMP-THERM"
"38","HEU-COMP-THERM-002-018",NA,1.002,0.0043,"HEU-COMP-THERM-002",0.12,0.26,0.872,0.115,0.013,0.737,0.244,0.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9315,NA,0.0685,0,"Graphite, Water (Light Water)",NA,NA,146.2748,156.8955,"HEU","COMP","THERM","HEU-COMP-THERM"
"39","HEU-COMP-THERM-002-019",NA,1.002,0.0043,"HEU-COMP-THERM-002",0.0777,0.162,0.916,0.075,0.009,0.844,0.14,0.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9315,NA,0.0685,0,"Graphite, Water (Light Water)",NA,NA,146.2748,156.8955,"HEU","COMP","THERM","HEU-COMP-THERM"
"40","HEU-COMP-THERM-002-020",NA,1.002,0.0043,"HEU-COMP-THERM-002",0.0639,0.121,0.936,0.057,0.007,0.898,0.088,0.014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9315,NA,0.0685,0,"Graphite, Water (Light Water)",NA,NA,139.1701,149.2749,"HEU","COMP","THERM","HEU-COMP-THERM"
"41","HEU-COMP-THERM-002-021",NA,1.002,0.0043,"HEU-COMP-THERM-002",0.059,0.107,0.945,0.049,0.006,0.92,0.068,0.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9315,NA,0.0685,0,"Graphite, Water (Light Water)",NA,NA,139.1701,149.2749,"HEU","COMP","THERM","HEU-COMP-THERM"
"42","HEU-COMP-THERM-002-022",NA,1.002,0.0043,"HEU-COMP-THERM-002",0.0541,0.0911,0.954,0.041,0.005,0.944,0.046,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9315,NA,0.0685,0,"Graphite, Water (Light Water)",NA,NA,146.2748,156.8955,"HEU","COMP","THERM","HEU-COMP-THERM"
"43","HEU-COMP-THERM-002-023",NA,1.0008,0.0085,"HEU-COMP-THERM-002",0.0818,0.174,0.912,0.079,0.009,0.834,0.149,0.017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9315,NA,0.0685,0,"Graphite, Water (Light Water)",NA,NA,136.317,146.2147,"HEU","COMP","THERM","HEU-COMP-THERM"
"44","HEU-COMP-THERM-002-024",NA,1.0008,0.0085,"HEU-COMP-THERM-002",0.0658,0.125,0.934,0.059,0.007,0.893,0.093,0.014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9315,NA,0.0685,0,"Graphite, Water (Light Water)",NA,NA,136.317,146.2147,"HEU","COMP","THERM","HEU-COMP-THERM"
"45","HEU-COMP-THERM-002-025",NA,1.0008,0.0085,"HEU-COMP-THERM-002",0.0605,0.11,0.942,0.051,0.007,0.917,0.071,0.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9315,NA,0.0685,0,"Graphite, Water (Light Water)",NA,NA,136.317,146.2147,"HEU","COMP","THERM","HEU-COMP-THERM"
"46","HEU-COMP-THERM-007-001",NA,1,0.0035,"HEU-COMP-THERM-007",0.257,0.454,0.809,0.171,0.02,0.66,0.31,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0096,0.7947,0.0022,0.1935,0,"Water (Light Water)","Vm/Vf",NA,0,0,"HEU","COMP","THERM","HEU-COMP-THERM"
"47","HEU-COMP-THERM-007-002",NA,1,0.0041,"HEU-COMP-THERM-007",0.398,0.68,0.752,0.221,0.027,0.574,0.39,0.036,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0096,0.7947,0.0022,0.1935,0,"Water (Light Water)","Vm/Vf",NA,0,0,"HEU","COMP","THERM","HEU-COMP-THERM"
"48","HEU-COMP-THERM-011-001",NA,0.9988,0.0042,"HEU-COMP-THERM-011",0.715,1.12,0.684,0.282,0.034,0.557,0.41,0.033,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0109,0.7919,0.002,0.1952,0,"Water (Light Water)","Vm/Vf",NA,1.6227,0,"HEU","COMP","THERM","HEU-COMP-THERM"
"49","HEU-COMP-THERM-011-002",NA,0.9988,0.0042,"HEU-COMP-THERM-011",0.551,0.906,0.714,0.254,0.032,0.603,0.365,0.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0109,0.7919,0.002,0.1952,0,"Water (Light Water)","Vm/Vf",NA,1.6227,0,"HEU","COMP","THERM","HEU-COMP-THERM"
"50","HEU-COMP-THERM-011-003",NA,0.9988,0.0042,"HEU-COMP-THERM-011",0.431,0.741,0.742,0.228,0.03,0.66,0.312,0.028,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0109,0.7919,0.002,0.1952,0,"Water (Light Water)","Vm/Vf",NA,1.6227,0,"HEU","COMP","THERM","HEU-COMP-THERM"
"51","HEU-COMP-THERM-012-001",NA,0.9987,0.0032,"HEU-COMP-THERM-012",0.556,0.91,0.718,0.248,0.034,0.612,0.355,0.033,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0109,0.7919,0.002,0.1952,0,"Water (Light Water)","Vm/Vf",NA,1.6227,0,"HEU","COMP","THERM","HEU-COMP-THERM"
"52","HEU-COMP-THERM-012-002",NA,0.9987,0.0034,"HEU-COMP-THERM-012",0.429,0.735,0.747,0.222,0.031,0.673,0.298,0.029,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0109,0.7919,0.002,0.1952,0,"Water (Light Water)","Vm/Vf",NA,1.6227,0,"HEU","COMP","THERM","HEU-COMP-THERM"
"53","HEU-COMP-THERM-013-001",NA,0.9988,0.0042,"HEU-COMP-THERM-013",0.454,0.773,0.737,0.232,0.031,0.635,0.334,0.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0109,0.7919,0.002,0.1952,0,"Water (Light Water)","Vm/Vf",NA,1.6227,0,"HEU","COMP","THERM","HEU-COMP-THERM"
"54","HEU-COMP-THERM-013-002",NA,0.9988,0.0043,"HEU-COMP-THERM-013",0.317,0.577,0.776,0.197,0.027,0.717,0.257,0.026,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0109,0.7919,0.002,0.1952,0,"Water (Light Water)","Vm/Vf",NA,1.6227,0,"HEU","COMP","THERM","HEU-COMP-THERM"
"55","HEU-COMP-THERM-014-001",NA,0.9986,0.0048,"HEU-COMP-THERM-014",0.118,0.26,0.879,0.106,0.015,0.828,0.153,0.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0109,0.7919,0.002,0.1952,0,"Water (Light Water)","Vm/Vf",NA,6.7157,0,"HEU","COMP","THERM","HEU-COMP-THERM"
"56","HEU-COMP-THERM-014-002",NA,0.9986,0.0049,"HEU-COMP-THERM-014",0.0983,0.225,0.898,0.089,0.013,0.865,0.119,0.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0109,0.7919,0.002,0.1952,0,"Water (Light Water)","Vm/Vf",NA,6.7157,0,"HEU","COMP","THERM","HEU-COMP-THERM"
"57","HEU-COMP-THERM-015-001",NA,1.0006,0.0027,"HEU-COMP-THERM-015",0.581,0.94,0.717,0.251,0.032,0.492,0.466,0.042,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0083,0.9384,NA,0.0533,0,"Water (Light Water)","H/U",240,240,0,"HEU","COMP","THERM","HEU-COMP-THERM"
"58","HEU-COMP-THERM-015-005",NA,1.0015,0.0026,"HEU-COMP-THERM-015",0.32,0.589,0.718,0.25,0.032,0.493,0.465,0.042,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0083,0.9384,NA,0.0533,0,"Water (Light Water)","H/U",180,180,0,"HEU","COMP","THERM","HEU-COMP-THERM"
"59","HEU-COMP-THERM-015-006",NA,1.0015,0.0028,"HEU-COMP-THERM-015",0.341,0.616,0.86,0.125,0.015,0.742,0.23,0.028,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0083,0.9384,NA,0.0533,0,"Water (Light Water)","H/U",NA,0,0,"HEU","COMP","THERM","HEU-COMP-THERM"
"60","HEU-COMP-THERM-021-001",NA,1.0008,0.0029,"HEU-COMP-THERM-021",0.242,0.468,0.807,0.164,0.028,0.533,0.418,0.049,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0095,0.9352,NA,0.0553,0,"Water (Light Water)",NA,NA,1.3792,0,"HEU","COMP","THERM","HEU-COMP-THERM"
"61","HEU-COMP-THERM-021-002",NA,1.0004,0.0024,"HEU-COMP-THERM-021",0.189,0.384,0.832,0.143,0.025,0.577,0.378,0.045,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0095,0.9352,NA,0.0553,0,"Water (Light Water)",NA,NA,1.6421,0,"HEU","COMP","THERM","HEU-COMP-THERM"
"62","HEU-COMP-THERM-021-003",NA,1.0008,0.0018,"HEU-COMP-THERM-021",0.101,0.236,0.892,0.091,0.016,0.713,0.255,0.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0095,0.9352,NA,0.0553,0,"Water (Light Water)",NA,NA,2.9448,0,"HEU","COMP","THERM","HEU-COMP-THERM"
"63","HEU-COMP-THERM-021-004",NA,1.0023,0.0016,"HEU-COMP-THERM-021",0.0677,0.146,0.928,0.06,0.012,0.799,0.178,0.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015,0.9156,NA,0.0694,0,"Water (Light Water)",NA,NA,3.6351,0,"HEU","COMP","THERM","HEU-COMP-THERM"
"64","HEU-COMP-THERM-021-005",NA,1.0015,0.0014,"HEU-COMP-THERM-021",0.0535,0.103,0.949,0.042,0.009,0.865,0.118,0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015,0.9156,NA,0.0694,0,"Water (Light Water)",NA,NA,5.7945,0,"HEU","COMP","THERM","HEU-COMP-THERM"
"65","HEU-COMP-THERM-021-006",NA,1.0038,0.0029,"HEU-COMP-THERM-021",0.295,0.552,0.789,0.179,0.032,0.502,0.443,0.055,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0095,0.9352,NA,0.0553,0,"Water (Light Water)",NA,NA,1.3792,0,"HEU","COMP","THERM","HEU-COMP-THERM"
"66","HEU-COMP-THERM-021-007",NA,1.0033,0.0029,"HEU-COMP-THERM-021",0.273,0.517,0.796,0.173,0.031,0.514,0.433,0.053,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0095,0.9352,NA,0.0553,0,"Water (Light Water)",NA,NA,1.3792,0,"HEU","COMP","THERM","HEU-COMP-THERM"
"67","HEU-COMP-THERM-021-008",NA,1.0022,0.0029,"HEU-COMP-THERM-021",0.266,0.505,0.799,0.171,0.03,0.518,0.43,0.052,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0095,0.9352,NA,0.0553,0,"Water (Light Water)",NA,NA,1.3792,0,"HEU","COMP","THERM","HEU-COMP-THERM"
"68","HEU-COMP-THERM-021-009",NA,1.0021,0.0029,"HEU-COMP-THERM-021",0.259,0.494,0.801,0.169,0.03,0.523,0.427,0.051,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0095,0.9352,NA,0.0553,0,"Water (Light Water)",NA,NA,1.3792,0,"HEU","COMP","THERM","HEU-COMP-THERM"
"69","HEU-COMP-THERM-021-010",NA,1.0018,0.0029,"HEU-COMP-THERM-021",0.252,0.483,0.804,0.167,0.029,0.527,0.422,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0095,0.9352,NA,0.0553,0,"Water (Light Water)",NA,NA,1.3792,0,"HEU","COMP","THERM","HEU-COMP-THERM"
"70","HEU-COMP-THERM-021-011",NA,1.0008,0.0029,"HEU-COMP-THERM-021",0.249,0.479,0.805,0.166,0.029,0.529,0.421,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0095,0.9352,NA,0.0553,0,"Water (Light Water)",NA,NA,1.3792,0,"HEU","COMP","THERM","HEU-COMP-THERM"
"71","HEU-COMP-THERM-021-012",NA,1.0008,0.0029,"HEU-COMP-THERM-021",0.246,0.475,0.806,0.166,0.029,0.53,0.42,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0095,0.9352,NA,0.0553,0,"Water (Light Water)",NA,NA,1.3792,0,"HEU","COMP","THERM","HEU-COMP-THERM"
"72","HEU-COMP-THERM-021-013",NA,1.0008,0.0029,"HEU-COMP-THERM-021",0.243,0.47,0.807,0.165,0.028,0.532,0.418,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0095,0.9352,NA,0.0553,0,"Water (Light Water)",NA,NA,1.3792,0,"HEU","COMP","THERM","HEU-COMP-THERM"
"73","HEU-COMP-THERM-021-014",NA,1.0041,0.0025,"HEU-COMP-THERM-021",0.226,0.445,0.815,0.157,0.028,0.552,0.4,0.049,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0095,0.9352,NA,0.0553,0,"Water (Light Water)",NA,NA,1.6421,0,"HEU","COMP","THERM","HEU-COMP-THERM"
"74","HEU-COMP-THERM-021-015",NA,1.0046,0.0025,"HEU-COMP-THERM-021",0.226,0.444,0.815,0.157,0.028,0.552,0.399,0.049,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0095,0.9352,NA,0.0553,0,"Water (Light Water)",NA,NA,1.6421,0,"HEU","COMP","THERM","HEU-COMP-THERM"
"75","HEU-COMP-THERM-021-016",NA,1.0036,0.0025,"HEU-COMP-THERM-021",0.223,0.44,0.816,0.156,0.028,0.554,0.398,0.048,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0095,0.9352,NA,0.0553,0,"Water (Light Water)",NA,NA,1.6421,0,"HEU","COMP","THERM","HEU-COMP-THERM"
"76","HEU-COMP-THERM-021-017",NA,1.0024,0.0025,"HEU-COMP-THERM-021",0.214,0.424,0.82,0.153,0.027,0.561,0.392,0.047,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0095,0.9352,NA,0.0553,0,"Water (Light Water)",NA,NA,1.6421,0,"HEU","COMP","THERM","HEU-COMP-THERM"
"77","HEU-COMP-THERM-021-018",NA,1.0021,0.0025,"HEU-COMP-THERM-021",0.208,0.415,0.823,0.151,0.026,0.565,0.389,0.046,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0095,0.9352,NA,0.0553,0,"Water (Light Water)",NA,NA,1.6421,0,"HEU","COMP","THERM","HEU-COMP-THERM"
"78","HEU-COMP-THERM-021-019",NA,1.0015,0.0025,"HEU-COMP-THERM-021",0.205,0.41,0.824,0.15,0.026,0.568,0.387,0.046,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0095,0.9352,NA,0.0553,0,"Water (Light Water)",NA,NA,1.6421,0,"HEU","COMP","THERM","HEU-COMP-THERM"
